objectid,country,name,company,group_comp,subgroup,groupid,area_ha
7974,IDN,PT. DUTA PALMA NUSANTARA 1,PT. DUTA PALMA NUSANTARA,Duta Palma Group,,17,3032
7975,IDN,PT. DUTA PALMA NUSANTARA 2,PT. DUTA PALMA NUSANTARA,Duta Palma Group,,17,11033
7976,IDN,PT. SAKTI SAWIT JAYA 1,PT. SAKTI SAWIT JAYA,No group,,99,3148
7977,IDN,PT. JATIM JAYA PERKASA,PT. JATIM JAYA PERKASA,Wilmar,,77,21112
7978,IDN,PT. SINDORA SERAYA,PT. SINDORA SERAYA,No group,,99,10393
7979,IDN,PT. SURYA DUMAI AGRINDO 1,PT. SURYA DUMAI AGRINDO,Surya Dumai Group,,94,7609
7980,IDN,PT. MITRA UNGGUL PUSAKA,PT. MITRA UNGGUL PUSAKA,RGE Group,Asian Agri,102,14017
7981,IDN,PT. ALAM SARI LESTARI,PT. ALAM SARI LESTARI,No group,,99,11789
7982,IDN,PT. ARVENA SEPAKAT 1,PT. ARVENA SEPAKAT,Incasi Raya,,26,7222
7983,IDN,PT. ARVENA SEPAKAT 2,PT. ARVENA SEPAKAT,Incasi Raya,,26,0
7984,IDN,PT. INECDA (HGU),PT. INECDA (HGU),No group,,99,2923
7985,IDN,PT. INECDA 2,PT. INECDA,No group,,99,9776
7986,IDN,PT. REGUMAS AGRI UTAMA,PT. REGUMAS AGRI UTAMA,No group,,99,31860
7987,IDN,PT. INTI INDO SAWIT SUBUR 5,PT. INTI INDO SAWIT SUBUR,RGE Group,Asian Agri,102,26333
7988,IDN,PT. INTI INDO SAWIT SUBUR 6,PT. INTI INDO SAWIT SUBUR,RGE Group,Asian Agri,102,5244
7989,IDN,PT. ROKAN ADI RAYA,PT. ROKAN ADI RAYA,No group,,99,10521
7990,IDN,PT. SAWIT ASAHAN INDAH,PT. SAWIT ASAHAN INDAH,Astra International,Astra Agro Lestari,5,7683
7991,IDN,PT. PERKEBUNAN V (SEI. INTAN),PT. PERKEBUNAN V (SEI. INTAN),No group,,99,21456
7992,IDN,PT. BINA RUPAT SEPANG LESTARI,PT. BINA RUPAT SEPANG LESTARI,No group,,99,3960
